run_id,definition,incident_lag_months,outcome,security_term,target_months,coefficient_log_points_per_incident,hac_standard_error,hac_p_value,hac_95_ci_lower,hac_95_ci_upper,approx_percent_difference_per_incident,controls,interpretation,bh_adjusted_p_value_family_all_definition_lag_tests,multiple_testing_family_size
gtd_20260811T172334Z_6527a1fb,strict_within_100km_tourism_centers,0,log1p_monthly_departing_visitors,monthly_incidents_lag_0,153,-0.002950138706483416,0.014106620960681786,0.8343455901644334,-0.030598607732977533,0.024698330320010703,-0.2945791323468117,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_within_100km_tourism_centers,1,log1p_monthly_departing_visitors,monthly_incidents_lag_1,152,-0.003005769481604338,0.013226292775420857,0.820223797762701,-0.02892882697041153,0.022917288007202854,-0.30012566791297013,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_within_100km_tourism_centers,2,log1p_monthly_departing_visitors,monthly_incidents_lag_2,151,-0.0042286128416504365,0.01500255058869937,0.7780511719458324,-0.033633071671741385,0.025175845988440516,-0.42196848471454984,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_within_100km_tourism_centers,3,log1p_monthly_departing_visitors,monthly_incidents_lag_3,150,-0.003725557369146079,0.017215025906534447,0.8286657447436605,-0.037466388138877586,0.030015273400585428,-0.371862609058767,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_within_100km_tourism_centers,6,log1p_monthly_departing_visitors,monthly_incidents_lag_6,147,-5.1931118893275285e-05,0.016194501455411115,0.9974414175643783,-0.03179257071908055,0.031688708481294,-0.005192977049606189,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9974414175643784,54
gtd_20260811T172334Z_6527a1fb,strict_within_100km_tourism_centers,12,log1p_monthly_departing_visitors,monthly_incidents_lag_12,141,-0.025651346823659278,0.014234145289163948,0.07152974447058219,-0.05354975894113109,0.002247065293812533,-2.5325146140937607,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.6153943800803369,54
gtd_20260811T172334Z_6527a1fb,high_severity_complete_case_ge10,0,log1p_monthly_departing_visitors,monthly_incidents_lag_0,153,-0.01884099714970044,0.01025013136850511,0.06604435563738544,-0.03893088546877471,0.0012488911693738294,-1.8664615038242485,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.6153943800803369,54
gtd_20260811T172334Z_6527a1fb,high_severity_complete_case_ge10,1,log1p_monthly_departing_visitors,monthly_incidents_lag_1,152,-0.023717037720476924,0.009553133015372712,0.01304109876531308,-0.04244083437012797,-0.004993241070825882,-2.3437999124053,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.6153943800803369,54
gtd_20260811T172334Z_6527a1fb,high_severity_complete_case_ge10,2,log1p_monthly_departing_visitors,monthly_incidents_lag_2,151,-0.02203344184006846,0.011231694941709126,0.04979507918369099,-0.044047159411159054,-1.972426897786997e-05,-2.179247855527442,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.6153943800803369,54
gtd_20260811T172334Z_6527a1fb,high_severity_complete_case_ge10,3,log1p_monthly_departing_visitors,monthly_incidents_lag_3,150,-0.02109462072518964,0.012040290154378873,0.07977334556596959,-0.044693155791184436,0.002503914340805158,-2.087368545571201,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.6153943800803369,54
gtd_20260811T172334Z_6527a1fb,high_severity_complete_case_ge10,6,log1p_monthly_departing_visitors,monthly_incidents_lag_6,147,-0.018521200909233655,0.008628004544826784,0.03182212615694421,-0.035431779075542055,-0.001610622742925255,-1.8350737485739073,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.6153943800803369,54
gtd_20260811T172334Z_6527a1fb,high_severity_complete_case_ge10,12,log1p_monthly_departing_visitors,monthly_incidents_lag_12,141,-0.006988789043811698,0.012812003654708064,0.5854182108982653,-0.03209985477683505,0.018122276689211653,-0.6964424250836618,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
