run_id,protocol,model,year,support,observations,unique_target_months,folds,support_start,support_end,mae,rmse,mape_pct,smape_pct,wape_pct,bias_forecast_minus_actual,r2,interval_95_observations,interval_95_coverage,interval_95_mean_width,interval_95_median_width,interval_95_winkler
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2022,model_full_evaluable_support,12,12,1,2022-01-01,2022-12-01,3751805.190373741,5199401.561745141,82.71300380096461,102.64520903234306,87.6436007125323,721179.764549245,-6.057365768857652,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2023,model_full_evaluable_support,12,12,1,2023-01-01,2023-12-01,1874311.374405531,2301887.251392927,35.225929210957624,45.77709934209963,39.40565114154189,-1857341.7848306575,-0.3696065030343394,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2024,model_full_evaluable_support,12,12,1,2024-01-01,2024-12-01,2540429.599587809,2932391.0515704644,45.53488899170644,62.296354177247885,48.98594971695988,-2540429.599587809,-1.235125227905876,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2025,model_full_evaluable_support,12,12,1,2025-01-01,2025-12-01,2533299.0911184163,2882074.5843350673,44.662561247884256,60.99772162247029,47.56099701059604,-2442903.461848394,-1.0912266132938124,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2015,model_full_evaluable_support,12,12,1,2015-01-01,2015-12-01,514439.34126984136,569090.2125909185,15.68201383905218,17.14303692287702,14.833345340063772,-514439.34126984136,0.88223760309484,12,0.8333333333333334,1370715.0129033234,1370715.0129033234,3015671.6365589127
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2016,model_full_evaluable_support,12,12,1,2016-01-01,2016-12-01,554110.474702381,688624.7130898595,19.16604494471068,17.740918492776647,21.199604494595196,407803.55803571426,0.4953835537425755,12,0.6666666666666666,1491483.1866730412,1491483.186673041,5971394.442186101
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2017,model_full_evaluable_support,12,12,1,2017-01-01,2017-12-01,284778.32754629635,356438.6044929989,8.998816440106665,9.575678790822368,8.848547970207404,-228119.494212963,0.9470522373891747,12,1.0,1640293.1981357916,1640293.1981357913,1640293.1981357916
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2018,model_full_evaluable_support,12,12,1,2018-01-01,2018-12-01,802933.9925925927,853247.7819255926,22.478185207816523,25.475051558879247,21.11656348179461,-802933.9925925927,0.7479189268188429,12,0.6666666666666666,1615767.3171395361,1615767.3171395361,6662975.573246335
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2019,model_full_evaluable_support,12,12,1,2019-01-01,2019-12-01,1259173.575757576,1380861.0225512031,29.578672328761208,34.775974037308806,29.136272024405436,-1259173.575757576,0.5280646859146663,12,0.3333333333333333,1775467.8649467856,1775467.8649467854,19061230.27171691
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2020,model_full_evaluable_support,9,9,1,2020-01-01,2020-12-01,1757020.998316498,2178158.751587586,127.0206878265335,65.89220397332963,99.91737144345029,1394729.1835016834,-8.880690356693268,9,0.5555555555555556,2219957.6692440286,2219957.669244028,35089067.51165401
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2021,model_full_evaluable_support,12,12,1,2021-01-01,2021-12-01,864786.9209401709,1074834.3658086471,64.69780250796792,42.040916001321676,35.348568952576215,675462.9764957264,0.5415717441071293,12,0.8333333333333334,2952786.461226957,2952786.461226957,7544011.868248209
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2022,model_full_evaluable_support,12,12,1,2022-01-01,2022-12-01,1237708.2005494505,1375461.084078353,28.808810039951773,33.858659135069814,28.913335800566124,-1237708.2005494505,0.5061073980976643,12,0.6666666666666666,3101128.4667752516,3101128.466775251,9165099.677284563
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2023,model_full_evaluable_support,12,12,1,2023-01-01,2023-12-01,1645493.525793651,1737892.2010554986,35.877687279933895,43.94207829110625,34.594968967552674,-1645493.525793651,0.2193194082073866,12,0.5833333333333334,3212531.217061646,3212531.2170616454,14120200.805039993
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2024,model_full_evaluable_support,12,12,1,2024-01-01,2024-12-01,1971720.7687500005,2045234.957018377,39.758050431032075,49.904695074473715,38.019795726496184,-1971720.7687500005,-0.08728777107621388,12,0.4166666666666667,3513665.3143872074,3513665.314387207,17806665.535425354
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,same_month_historical_mean,2025,model_full_evaluable_support,12,12,1,2025-01-01,2025-12-01,1999870.981617647,2076169.0755746574,39.17451358737845,49.04214760277887,37.54624083345104,-1999870.981617647,-0.08521578434541799,12,0.5,3858988.492551344,3858988.4925513454,14785612.48860652
