fold_id,protocol,model,train_start,train_end,test_start,test_end,runtime_seconds,notes,n,mae,rmse,mape,smape,wape,mase,rmsse,r2,bias,seasonal_naive_mae,seasonal_naive_rmse,mae_skill_vs_seasonal_naive,rmse_skill_vs_seasonal_naive,interval_95_coverage,interval_95_mean_width,interval_95_winkler
fixed_12m_2016,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2008-01,2015-12,2016-01,2016-12,0.01675099995918572,,12.0,789997.1666666666,1035580.8887125996,25.198625033587223,21.184563534911742,30.224347399639903,4.651165343282956,4.701001991910614,-0.14120652481130214,772255.8333333334,854350.1666666666,1119935.3130836026,0.07532391577926378,0.07532080057261836,0.4166666666666667,906514.7073851306,20144462.01011416
fixed_12m_2016,fixed_origin_12m_ex_ante,ets_holt_winters,2008-01,2015-12,2016-01,2016-12,0.042292899917811155,,12.0,913254.091349422,1175447.156537032,29.709073042066198,24.6095079018291,34.94001002250945,5.376849384433402,5.335922557566433,-0.470287995536524,913254.091349422,854350.1666666666,1119935.3130836026,-0.06894588071841201,-0.04956700874141062,0.5833333333333334,1707525.7183480738,14349746.670207193
fixed_12m_2016,fixed_origin_12m_ex_ante,theta,2008-01,2015-12,2016-01,2016-12,0.016997999977320433,,12.0,863193.9203338762,1115897.5235896318,27.950846093748176,23.345850523589785,33.02476771089031,5.082116514075439,5.065598002377615,-0.32508830039312553,831648.6701484235,854350.1666666666,1119935.3130836026,-0.010351439037829646,0.0036053774238560266,1.0,8953122.958880765,8953122.958880765
fixed_12m_2016,fixed_origin_12m_ex_ante,sarima_111_111_12,2008-01,2015-12,2016-01,2016-12,0.18504469993058592,,12.0,798826.5634456145,1081396.9377375115,24.955491587261573,20.83395463349737,30.562149567592208,4.703149054153231,4.9089831743321435,-0.2444185110682202,788718.5897321734,854350.1666666666,1119935.3130836026,0.06498928119565195,0.03441125116412347,0.4166666666666667,859037.1292301094,21318278.81330628
fixed_12m_2016,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,2008-01,2015-12,2016-01,2016-12,0.026828399975784123,,12.0,1009690.613022358,1171168.1849363449,36.946102862139,30.364810301132007,38.62955608171142,5.944626366880701,5.316498238097612,-0.4596029223388127,1009690.613022358,854350.1666666666,1119935.3130836026,-0.18182292509143871,-0.04574627771284301,0.3333333333333333,1276779.40604353,19761499.847567443
fixed_12m_2017,fixed_origin_12m_ex_ante,naive_last,2008-01,2016-12,2017-01,2017-12,0.001007299986667931,,12.0,1631933.9166666667,2219027.150154939,39.75822466909928,55.16370569884209,50.70696801351888,6.389419900689014,4.971307953706491,-1.0521229415137752,-1588891.25,648383.3333333334,858957.2348826997,-1.5169276148369022,-1.583396541805684,1.0,8401750.879213521,8401750.879213521
fixed_12m_2017,fixed_origin_12m_ex_ante,seasonal_naive,2008-01,2016-12,2017-01,2017-12,0.0034203999675810337,,12.0,648383.3333333334,858957.2348826997,16.69823280493938,18.61538201739872,20.14637517368759,2.5385791244151656,1.924330188284513,0.6925169163763738,-604584.8333333334,648383.3333333334,858957.2348826997,0.0,0.0,1.0,4287026.15411191,4287026.15411191
fixed_12m_2017,fixed_origin_12m_ex_ante,drift,2008-01,2016-12,2017-01,2017-12,0.0013599999947473407,,12.0,1606322.6082554515,2194938.833360642,38.96626021772942,53.836351136555265,49.91118101312093,6.289145372428979,4.917342664970602,-1.007811734542249,-1561145.6658878503,648383.3333333334,858957.2348826997,-1.4774273576672003,-1.5553528676667887,1.0,14011653.139882013,14011653.139882013
fixed_12m_2017,fixed_origin_12m_ex_ante,same_month_historical_mean,2008-01,2016-12,2017-01,2017-12,0.0016729000490158796,,12.0,291645.38888888893,358161.1871877848,9.185941514476731,9.761083094984663,9.061919269308136,1.1418629349386054,0.802391966430547,0.9465392329668922,-234986.5555555556,648383.3333333334,858957.2348826997,0.550196043150057,0.5830279172900898,1.0,1635368.9372019311,1635368.9372019311
fixed_12m_2017,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2008-01,2016-12,2017-01,2017-12,0.018205099971964955,,12.0,241025.86111111112,277548.38238793146,7.917151214163572,7.968780117854351,7.4890842729438285,0.9436751193391602,0.6217943213570659,0.9678962662667215,-40641.97222222221,648383.3333333334,858957.2348826997,0.6282664147580734,0.676877531131298,1.0,1837858.84185548,1837858.84185548
